iter	RMSE
190	470.7069646
191	470.1026632
192	469.8613464
193	469.7361274
194	469.680074
195	469.1215594
196	468.6640412
197	468.40238
198	468.3348344
199	467.8216792
200	467.4187714
201	467.3291493
202	467.0364395
203	466.7915131
204	466.753315
205	466.5482968
206	466.1111505
207	465.9999516
208	465.8019973
209	465.3938166
210	465.3118875
211	465.2432553
212	465.0559037
213	464.5504253
214	464.4544322
215	464.3442017
216	464.0790157
217	463.8356789
218	463.7548602
219	463.6156843
220	463.5547328
221	463.4839108
222	463.3902679
223	463.2982026
224	462.9557071
225	462.8783379
226	462.6437811
227	462.4289132
228	462.370059
229	462.0525907
230	461.9800917
231	461.9097054
232	461.8850385
233	461.7170462
234	461.6659248
235	461.5324194
236	461.407594
237	461.150488
238	460.955958
239	460.9299747
240	460.8126882
241	460.754989
242	460.615343
243	460.2594594
244	460.2102955
245	459.7899121
246	459.7111027
247	459.5073035
248	459.3017218
249	459.2370955
250	459.1783896
251	459.1378679
252	458.7659753
253	458.5164921
254	458.4503606
255	458.2532848
256	458.1407132
257	458.1180865
258	458.1006174
259	458.0821026
260	457.9706717
261	457.901733
262	457.8485072
263	457.6762551
264	457.5710702
265	457.5221691
266	457.3113376
267	457.2220833
268	457.0264804
269	457.0083141
270	456.9621846
271	456.9453466
272	456.813093
273	456.6542801
274	456.53528
275	456.295644
276	456.2306669
277	456.2152822
278	456.0436091
279	455.9467824
280	455.837569
281	455.6818695
282	455.5234675
283	455.3864942
284	455.3438196
285	455.2484358
286	455.1002648
287	455.0737464
288	454.8675978
289	454.7024198
290	454.5273603
291	454.3971972
292	454.3829352
293	454.1430516
294	453.9278942
295	453.7729438
296	453.7302569
297	453.7116191
298	453.6091236
299	453.503531
300	453.4692136
301	453.2172495
302	453.2039679
303	453.191404
304	452.9819203
305	452.857362
306	452.8415126
307	452.7669796
308	452.7501635
309	452.6562629
310	452.6412152
311	452.3533541
312	452.1509839
313	451.9316625
314	451.8264828
315	451.7001297
316	451.5051459
317	451.4062808
318	451.2237214
319	451.1612105
320	451.1378657
321	450.9713375
322	450.8490613
323	450.6810136
324	450.6105791
325	450.5987928
326	450.5882451
327	450.4742461
328	450.2227817
329	450.0690988
330	449.8956546
331	449.77991
332	449.5497002
333	449.3869009
334	449.2466707
335	449.1871769
336	449.121899
337	449.0579286
338	448.957047
339	448.744298
340	448.657905
341	448.5647359
342	448.5392357
343	448.4214467
344	448.2432275
345	448.1216626
346	447.8544571
347	447.6788881
348	447.5956135
349	447.5339146
350	447.4217384
351	447.263991
352	447.2086226
353	447.0469554
354	447.011154
355	446.8599631
356	446.8011736
357	446.6987063
358	446.6411293
359	446.5968471
360	446.4532941
361	446.355511
362	446.2705482
363	446.0534339
364	445.906629
365	445.8454176
366	445.8350932
367	445.7711397
368	445.6334998
369	445.5763501
370	445.5233287
371	445.5089101
372	445.426679
373	445.3025689
374	445.1783033
375	445.049268
376	444.9734777
377	444.9346484
378	444.8858755
379	444.8732879
380	444.7812255
381	444.7284676
382	444.580263
383	444.4685158
384	444.4594095
385	444.3844061
386	444.3496078
387	444.2581409
388	444.0720348
389	443.9510641
390	443.8978487
391	443.8457687
392	443.732248
393	443.6735617
394	443.6018874
395	443.5925651
396	443.5377798
397	443.3686882
398	443.3063964
399	443.2414816
400	443.2119499
401	443.1584263
402	443.1110494
403	442.9460488
404	442.816847
405	442.7874715
406	442.7266089
407	442.693666
408	442.6861966
409	442.6374553
410	442.5313224
411	442.4853585
412	442.4385479
413	442.3939038
414	442.3459654
415	442.2898671
416	442.168808
417	442.1547801
418	442.1353228
419	442.1281455
420	441.9912726
421	441.9434828
422	441.9196335
423	441.8974657
424	441.8530606
425	441.8426991
426	441.8328839
427	441.8001105
428	441.7863024
429	441.6806854
430	441.6392002
431	441.5962577
432	441.5562405
433	441.4623979
434	441.4211332
435	441.3473781
436	441.2482662
437	441.2096896
438	441.1892174
439	441.0751944
440	441.035916
441	441.0166102
442	440.9046781
443	440.8949599
444	440.8885424
445	440.8519184
446	440.8405548
447	440.7912059
448	440.7032152
449	440.6200623
450	440.5732651
451	440.564155
452	440.54881
453	440.5137034
454	440.4787355
455	440.3769374
456	440.3390769
457	440.2829257
458	440.2651322
459	440.1907999
460	440.1717378
461	440.1615965
462	440.1242017
463	440.0913681
464	440.0157934
465	439.9841524
466	439.9753735
467	439.9408621
468	439.8959224
469	439.865333
470	439.8569372
471	439.8260932
472	439.7479523
473	439.6876775
474	439.6407818
475	439.6328396
476	439.4879953
477	439.4249631
478	439.4093023
479	439.2389745
480	439.2185371
481	439.1508748
482	439.0506568
483	439.0447313
484	439.0225106
485	439.0030425
486	438.9845313
487	438.9396846
488	438.8973374
489	438.790161
490	438.6133446
491	438.571484
492	438.409146
493	438.3799238
494	438.3080747
495	438.3003754
496	438.265427
497	438.2324452
498	438.2198367
499	438.2125551
500	438.167534
501	438.10294
502	438.0717277
503	438.0095955
504	437.9621362
505	437.9365342
506	437.8987987
507	437.8920644
508	437.8855026
509	437.8477841
510	437.818654
511	437.7903984
512	437.6913015
513	437.6840463
514	437.6568769
515	437.5947663
516	437.5407566
517	437.5145288
518	437.4869308
519	437.4483344
520	437.3620677
521	437.2691389
522	437.224058
523	437.1420903
524	437.0717217
525	437.0354137
526	436.9756117
527	436.9324699
528	436.9256263
529	436.9172832
530	436.7814963
531	436.7367523
532	436.731943
533	436.6083577
534	436.5965259
535	436.5839229
536	436.5272525
537	436.50643
538	436.4818779
539	436.4581957
540	436.4100775
541	436.3601756
542	436.3278898
543	436.3214283
544	436.2717086
545	436.2316961
546	436.1536294
547	436.126093
548	436.1198982
549	436.1140154
550	436.0902477
551	436.0269522
552	435.9971067
553	435.9489216
554	435.9052589
555	435.8323034
556	435.8273948
557	435.8023648
558	435.7983449
559	435.7740659
560	435.7355422
561	435.6647058
562	435.6591252
563	435.6306526
564	435.6077201
565	435.5927261
566	435.5517105
567	435.5463951
568	435.5352049
569	435.52125
570	435.5160183
571	435.5031826
572	435.4981359
573	435.4940751
574	435.48873
575	435.4164618
576	435.404065
577	435.3939741
578	435.3490281
579	435.3002475
580	435.2688498
581	435.2582867
582	435.2120213
583	435.136714
584	435.0827989
585	435.0407252
586	434.9769502
587	434.9265198
588	434.9216303
589	434.8833316
590	434.8361278
591	434.7996733
592	434.7638695
593	434.7255975
594	434.6487214
595	434.6224776
596	434.5786868
597	434.5647471
598	434.5439721
599	434.4753972
600	434.4687498
601	434.4626239
602	434.4559909
603	434.435174
604	434.4309954
605	434.4266152
606	434.4093161
607	434.4043075
608	434.3852348
609	434.3634008
610	434.3588686
611	434.2734119
612	434.2366858
613	434.201783
614	434.1840178
615	434.1496241
616	434.0722321
617	434.0387078
618	434.010275
619	433.9580068
620	433.952744
621	433.9449239
622	433.9176174
623	433.9125232
624	433.8914856
625	433.8691656
626	433.8658575
627	433.8511502
628	433.8452782
629	433.8043031
630	433.758199
631	433.7494562
632	433.7365661
633	433.6978759
634	433.6707362
635	433.6341797
636	433.5996345
637	433.5669823
638	433.543589
639	433.5232068
640	433.5123193
641	433.4926546
642	433.4736783
643	433.4511075
644	433.4231183
645	433.3994275
646	433.3813916
647	433.3520279
648	433.3210995
649	433.2995232
650	433.2702924
651	433.2082118
652	433.1528325
653	433.130372
654	433.1139364
655	433.0908392
656	433.0840362
657	433.0768802
658	433.0687124
659	433.0529234
660	433.0461959
661	433.0254331
662	432.9940771
663	432.9877145
664	432.9802988
665	432.9748789
666	432.969584
667	432.9563774
668	432.9504984
669	432.9342406
670	432.9273088
671	432.9222582
672	432.9165568
673	432.8935611
674	432.8878308
675	432.881768
676	432.8537865
677	432.8386744
678	432.8103958
679	432.7836654
680	432.7395886
681	432.6766242
682	432.6518982
683	432.6242692
684	432.6025689
685	432.584469
686	432.572684
687	432.5294103
688	432.5137816
689	432.4633354
690	432.4130451
691	432.4027722
692	432.3965414
693	432.3887656
694	432.332277
695	432.3219233
696	432.2906512
697	432.281293
698	432.253649
699	432.2421012
700	432.2248787
701	432.2104062
702	432.1965953
703	432.1935065
704	432.1899589
705	432.1687665
706	432.1446647
707	432.121248
708	432.1123375
709	432.0975531
710	432.0489727
711	432.0433738
712	432.0332886
713	432.0241961
714	432.0138847
715	432.0045812
716	431.9988283
717	431.9936711
718	431.9688224
719	431.9536063
720	431.9446837
721	431.8949353
722	431.8702937
723	431.856578
724	431.8339042
725	431.7866487
726	431.7634255
727	431.7387698
728	431.7120443
729	431.7055017
730	431.6969189
731	431.6741698
732	431.654401
733	431.6516707
734	431.6293078
735	431.6139271
736	431.5657582
737	431.5529543
738	431.5493957
739	431.5457208
740	431.5337671
741	431.5298211
742	431.5240973
743	431.5213112
744	431.5178836
745	431.5007805
746	431.4974581
747	431.4531982
748	431.4491802
749	431.4419727
750	431.4363367
751	431.4152464
752	431.3915377
753	431.3480482
754	431.3053312
755	431.2848945
756	431.274251
757	431.2574424
758	431.2205171
759	431.1950162
760	431.1914249
761	431.1780445
762	431.1581285
763	431.1444564
764	431.1410848
765	431.1100914
766	431.1065127
767	431.0956419
768	431.0654882
769	431.0623971
770	431.0339271
771	431.0015681
772	430.9828776
773	430.973673
774	430.9636142
775	430.9519926
776	430.9308554
777	430.9269185
778	430.9140599
779	430.8853757
780	430.8543026
781	430.8147269
782	430.7719653
783	430.7691459
784	430.7576445
785	430.747104
786	430.7037771
787	430.6754074
788	430.6712877
789	430.6429384
790	430.6358187
791	430.6256702
792	430.6126266
793	430.6037732
794	430.5957818
795	430.5818389
796	430.554241
797	430.5365167
798	430.5058126
799	430.4917184
800	430.4831024
801	430.4451139
802	430.4289506
803	430.4250951
804	430.3935995
805	430.367887
806	430.3473521
807	430.3247686
808	430.3113693
809	430.3033494
810	430.2922393
811	430.2801281
812	430.262643
813	430.2604978
814	430.2321356
815	430.2197563
816	430.2137484
817	430.2037
818	430.2014906
819	430.1882729
820	430.1857884
821	430.1732604
822	430.1469769
823	430.1390112
824	430.122524
825	430.0988719
826	430.0964506
827	430.0819785
828	430.0595833
829	430.0391072
830	430.0362289
831	430.0274483
832	430.0178004
833	430.0067834
834	429.9855039
835	429.9639868
836	429.9576344
837	429.9368139
838	429.9262376
839	429.9122896
840	429.8930627
841	429.8828621
842	429.8696493
843	429.8514686
844	429.8416191
845	429.8353923
846	429.8160943
847	429.7997966
848	429.7956613
849	429.7861342
850	429.7836379
851	429.7682176
852	429.6904303
853	429.6824225
854	429.6778188
855	429.6584102
856	429.6492254
857	429.6395853
858	429.6074521
859	429.6001597
860	429.5923517
861	429.5522831
862	429.5488403
863	429.5120811
864	429.5082404
865	429.5016155
866	429.4866214
867	429.4824067
868	429.4763377
869	429.4696678
870	429.4564749
871	429.4534074
872	429.4297293
873	429.4261083
874	429.4204194
875	429.3935628
876	429.3647986
877	429.3529405
878	429.3416484
879	429.3369853
880	429.3325661
881	429.3130945
882	429.3049252
883	429.2712591
884	429.2648585
885	429.2498268
886	429.2340551
887	429.2316522
888	429.2236709
889	429.1954359
890	429.1932893
891	429.1774583
892	429.1587232
893	429.1504137
894	429.1242951
895	429.1065215
896	429.0676091
897	429.0649829
898	429.0387582
899	429.0246326
900	429.0105421
901	428.9936661
902	428.9823767
903	428.9738477
904	428.9637152
905	428.9622811
906	428.9389889
907	428.9302667
908	428.9290515
909	428.9263102
910	428.9095812
911	428.8750002
912	428.8646547
913	428.8624422
914	428.8547098
915	428.838301
916	428.8323921
917	428.820902
918	428.8111906
919	428.8056964
920	428.7991571
921	428.7876421
922	428.7750146
923	428.7652993
924	428.7625146
925	428.7465811
926	428.7272995
927	428.6821305
928	428.6800874
929	428.6775226
930	428.6696241
931	428.6621897
932	428.6550156
933	428.6525662
934	428.6404316
935	428.6246457
936	428.5886152
937	428.5546245
938	428.5522479
939	428.5435351
940	428.5118225
941	428.5059661
942	428.5011822
943	428.4942282
944	428.4827432
945	428.4718192
946	428.4630633
947	428.4450128
948	428.4395325
949	428.4327945
950	428.4218518
951	428.4153416
952	428.4095441
953	428.3993908
954	428.3897262
955	428.3883874
956	428.373462
957	428.3505206
958	428.3418897
959	428.3359488
960	428.3275477
961	428.3196718
962	428.3117675
963	428.2895621
964	428.285212
965	428.2656652
966	428.2614691
967	428.2438811
968	428.2294291
969	428.21789
970	428.2083686
971	428.2029401
972	428.1988185
973	428.193851
974	428.1910771
975	428.1829887
976	428.1721473
977	428.1691251
978	428.1644166
979	428.1434881
980	428.1357563
981	428.1210754
982	428.1170048
983	428.1077232
984	428.0943813
985	428.0851204
986	428.0724064
987	428.0603263
988	428.0563622
989	428.0446346
990	428.0408168
991	428.0306014
992	428.0190715
993	428.0153877
994	427.9942555
995	427.9919499
996	427.9842432
997	427.9570754
998	427.9540701
999	427.9496462
